,Gender,Organ,Type,Value
MI,All Genders,Lung,Total Transplanted,101
MA,All Genders,Lung,Total Transplanted,62
MD,All Genders,Lung,Total Transplanted,66
LA,All Genders,Lung,Total Transplanted,88
KY,All Genders,Lung,Total Transplanted,33
KS,All Genders,Lung,Total Transplanted,85
IA,All Genders,Lung,Total Transplanted,18
IN,All Genders,Lung,Total Transplanted,59
IL,All Genders,Lung,Total Transplanted,71
HI,All Genders,Lung,Total Transplanted,4
GA,All Genders,Lung,Total Transplanted,119
FL,All Genders,Lung,Total Transplanted,196
DC,All Genders,Lung,Total Transplanted,52
CT,All Genders,Lung,Total Transplanted,10
CO,All Genders,Lung,Total Transplanted,34
CA,All Genders,Lung,Total Transplanted,381
AR,All Genders,Lung,Total Transplanted,32
AZ,All Genders,Lung,Total Transplanted,54
AL,All Genders,Lung,Total Transplanted,24
WI,All Genders,All Organs,Population,5724554
WA,All Genders,All Organs,Population,6895318
VA,All Genders,All Organs,Population,8186628
UT,All Genders,All Organs,Population,2854871
TX,All Genders,All Organs,Population,26060796
TN,All Genders,All Organs,Population,6454914
SC,All Genders,All Organs,Population,4723417
PR,All Genders,All Organs,Population,7451578
PA,All Genders,All Organs,Population,12764475
OR,All Genders,All Organs,Population,3899801
OK,All Genders,All Organs,Population,3815780
OH,All Genders,All Organs,Population,11553031
NC,All Genders,All Organs,Population,9748364
NY,All Genders,All Organs,Population,19576125
NM,All Genders,All Organs,Population,2083540
NJ,All Genders,All Organs,Population,8867749
NV,All Genders,All Organs,Population,2754354
NE,All Genders,All Organs,Population,1855350
MO,All Genders,All Organs,Population,6024522
MS,All Genders,All Organs,Population,2986450
MN,All Genders,All Organs,Population,5379646
MI,All Genders,All Organs,Population,9882519
MA,All Genders,All Organs,Population,6645303
MD,All Genders,All Organs,Population,5884868
LA,All Genders,All Organs,Population,4602134
KY,All Genders,All Organs,Population,4379730
KS,All Genders,All Organs,Population,2885398
IA,All Genders,All Organs,Population,3075039
IN,All Genders,All Organs,Population,6537782
IL,All Genders,All Organs,Population,12868192
HI,All Genders,All Organs,Population,1390090
GA,All Genders,All Organs,Population,9915646
FL,All Genders,All Organs,Population,19320749
DC,All Genders,All Organs,Population,633427
CT,All Genders,All Organs,Population,3591765
CO,All Genders,All Organs,Population,5189458
CA,All Genders,All Organs,Population,37999878
AR,All Genders,All Organs,Population,2949828
AZ,All Genders,All Organs,Population,6551149
AL,All Genders,All Organs,Population,4817528
WI,Female,All Organs,Leading Death Mechanism,1
WA,Female,All Organs,Leading Death Mechanism,1
VA,Female,All Organs,Leading Death Mechanism,1
UT,Female,All Organs,Leading Death Mechanism,2
TX,Female,All Organs,Leading Death Mechanism,1
TN,Female,All Organs,Leading Death Mechanism,1
SC,Female,All Organs,Leading Death Mechanism,1
PR,Female,All Organs,Leading Death Mechanism,1
PA,Female,All Organs,Leading Death Mechanism,1
OR,Female,All Organs,Leading Death Mechanism,2
OK,Female,All Organs,Leading Death Mechanism,1
OH,Female,All Organs,Leading Death Mechanism,1
NC,Female,All Organs,Leading Death Mechanism,1
NY,Female,All Organs,Leading Death Mechanism,1
NM,Female,All Organs,Leading Death Mechanism,2
NJ,Female,All Organs,Leading Death Mechanism,1
NV,Female,All Organs,Leading Death Mechanism,1
NE,Female,All Organs,Leading Death Mechanism,1
MO,Female,All Organs,Leading Death Mechanism,1
MS,Female,All Organs,Leading Death Mechanism,1
MN,Female,All Organs,Leading Death Mechanism,1
MI,Female,All Organs,Leading Death Mechanism,1
MA,Female,All Organs,Leading Death Mechanism,1
MD,Female,All Organs,Leading Death Mechanism,1
LA,Female,All Organs,Leading Death Mechanism,1
KY,Female,All Organs,Leading Death Mechanism,1
KS,Female,All Organs,Leading Death Mechanism,1
IA,Female,All Organs,Leading Death Mechanism,1
IN,Female,All Organs,Leading Death Mechanism,1
IL,Female,All Organs,Leading Death Mechanism,1
HI,Female,All Organs,Leading Death Mechanism,1
GA,Female,All Organs,Leading Death Mechanism,1
FL,Female,All Organs,Leading Death Mechanism,1
DC,Female,All Organs,Leading Death Mechanism,1
CT,Female,All Organs,Leading Death Mechanism,1
CO,Female,All Organs,Leading Death Mechanism,1
CA,Female,All Organs,Leading Death Mechanism,1
AR,Female,All Organs,Leading Death Mechanism,1
AZ,Female,All Organs,Leading Death Mechanism,1
AL,Female,All Organs,Leading Death Mechanism,1
WI,Female,All Organs,Total Donors,80
WA,Female,All Organs,Total Donors,78
VA,Female,All Organs,Total Donors,73
UT,Female,All Organs,Total Donors,35
TX,Female,All Organs,Total Donors,266
TN,Female,All Organs,Total Donors,120
SC,Female,All Organs,Total Donors,45
PR,Female,All Organs,Total Donors,39
PA,Female,All Organs,Total Donors,252
OR,Female,All Organs,Total Donors,31
OK,Female,All Organs,Total Donors,41
OH,Female,All Organs,Total Donors,122
NC,Female,All Organs,Total Donors,135
NY,Female,All Organs,Total Donors,142
NM,Female,All Organs,Total Donors,13
NJ,Female,All Organs,Total Donors,47
NV,Female,All Organs,Total Donors,34
NE,Female,All Organs,Total Donors,18
MO,Female,All Organs,Total Donors,82
MS,Female,All Organs,Total Donors,30
MN,Female,All Organs,Total Donors,63
MI,Female,All Organs,Total Donors,112
MA,Female,All Organs,Total Donors,77
MD,Female,All Organs,Total Donors,58
LA,Female,All Organs,Total Donors,75
KY,Female,All Organs,Total Donors,38
KS,Female,All Organs,Total Donors,88
IA,Female,All Organs,Total Donors,22
IN,Female,All Organs,Total Donors,60
IL,Female,All Organs,Total Donors,109
HI,Female,All Organs,Total Donors,19
GA,Female,All Organs,Total Donors,123
FL,Female,All Organs,Total Donors,228
DC,Female,All Organs,Total Donors,54
CT,Female,All Organs,Total Donors,13
CO,Female,All Organs,Total Donors,40
CA,Female,All Organs,Total Donors,328
AR,Female,All Organs,Total Donors,26
AZ,Female,All Organs,Total Donors,49
AL,Female,All Organs,Total Donors,58
WI,Female,All Organs,Total Recovered,288
WA,Female,All Organs,Total Recovered,273
VA,Female,All Organs,Total Recovered,251
UT,Female,All Organs,Total Recovered,107
TX,Female,All Organs,Total Recovered,896
TN,Female,All Organs,Total Recovered,425
SC,Female,All Organs,Total Recovered,166
PR,Female,All Organs,Total Recovered,109
PA,Female,All Organs,Total Recovered,852
OR,Female,All Organs,Total Recovered,108
OK,Female,All Organs,Total Recovered,152
OH,Female,All Organs,Total Recovered,431
NC,Female,All Organs,Total Recovered,466
NY,Female,All Organs,Total Recovered,408
NM,Female,All Organs,Total Recovered,38
NJ,Female,All Organs,Total Recovered,145
NV,Female,All Organs,Total Recovered,129
NE,Female,All Organs,Total Recovered,57
MO,Female,All Organs,Total Recovered,308
MS,Female,All Organs,Total Recovered,111
MN,Female,All Organs,Total Recovered,227
MI,Female,All Organs,Total Recovered,401
MA,Female,All Organs,Total Recovered,260
MD,Female,All Organs,Total Recovered,207
LA,Female,All Organs,Total Recovered,256
KY,Female,All Organs,Total Recovered,133
KS,Female,All Organs,Total Recovered,298
IA,Female,All Organs,Total Recovered,72
IN,Female,All Organs,Total Recovered,242
IL,Female,All Organs,Total Recovered,377
HI,Female,All Organs,Total Recovered,52
GA,Female,All Organs,Total Recovered,400
FL,Female,All Organs,Total Recovered,783
DC,Female,All Organs,Total Recovered,159
CT,Female,All Organs,Total Recovered,46
CO,Female,All Organs,Total Recovered,143
CA,Female,All Organs,Total Recovered,1148
AR,Female,All Organs,Total Recovered,94
AZ,Female,All Organs,Total Recovered,162
AL,Female,All Organs,Total Recovered,179
WI,Female,Kidney,Total Recovered,152
WA,Female,Kidney,Total Recovered,152
VA,Female,Kidney,Total Recovered,136
UT,Female,Kidney,Total Recovered,69
TX,Female,Kidney,Total Recovered,448
TN,Female,Kidney,Total Recovered,228
SC,Female,Kidney,Total Recovered,82
PR,Female,Kidney,Total Recovered,65
PA,Female,Kidney,Total Recovered,452
OR,Female,Kidney,Total Recovered,62
OK,Female,Kidney,Total Recovered,77
OH,Female,Kidney,Total Recovered,225
NC,Female,Kidney,Total Recovered,241
NY,Female,Kidney,Total Recovered,225
NM,Female,Kidney,Total Recovered,26
NJ,Female,Kidney,Total Recovered,94
NV,Female,Kidney,Total Recovered,64
NE,Female,Kidney,Total Recovered,34
MO,Female,Kidney,Total Recovered,142
MS,Female,Kidney,Total Recovered,60
MN,Female,Kidney,Total Recovered,122
MI,Female,Kidney,Total Recovered,208
MA,Female,Kidney,Total Recovered,144
MD,Female,Kidney,Total Recovered,98
LA,Female,Kidney,Total Recovered,125
KY,Female,Kidney,Total Recovered,74
KS,Female,Kidney,Total Recovered,157
IA,Female,Kidney,Total Recovered,42
IN,Female,Kidney,Total Recovered,118
IL,Female,Kidney,Total Recovered,194
HI,Female,Kidney,Total Recovered,36
GA,Female,Kidney,Total Recovered,197
FL,Female,Kidney,Total Recovered,407
DC,Female,Kidney,Total Recovered,91
CT,Female,Kidney,Total Recovered,24
CO,Female,Kidney,Total Recovered,74
CA,Female,Kidney,Total Recovered,611
AR,Female,Kidney,Total Recovered,47
AZ,Female,Kidney,Total Recovered,90
AL,Female,Kidney,Total Recovered,98
WI,Female,Pancreas,Total Recovered,30
WA,Female,Pancreas,Total Recovered,15
VA,Female,Pancreas,Total Recovered,10
UT,Female,Pancreas,Total Recovered,6
TX,Female,Pancreas,Total Recovered,79
TN,Female,Pancreas,Total Recovered,36
SC,Female,Pancreas,Total Recovered,7
PR,Female,Pancreas,Total Recovered,16
PA,Female,Pancreas,Total Recovered,24
OR,Female,Pancreas,Total Recovered,4
OK,Female,Pancreas,Total Recovered,8
OH,Female,Pancreas,Total Recovered,20
NC,Female,Pancreas,Total Recovered,25
NY,Female,Pancreas,Total Recovered,12
NM,Female,Pancreas,Total Recovered,1
NJ,Female,Pancreas,Total Recovered,4
NV,Female,Pancreas,Total Recovered,5
NE,Female,Pancreas,Total Recovered,3
MO,Female,Pancreas,Total Recovered,9
MS,Female,Pancreas,Total Recovered,2
MN,Female,Pancreas,Total Recovered,14
MI,Female,Pancreas,Total Recovered,17
MA,Female,Pancreas,Total Recovered,10
MD,Female,Pancreas,Total Recovered,13
LA,Female,Pancreas,Total Recovered,13
KY,Female,Pancreas,Total Recovered,4
KS,Female,Pancreas,Total Recovered,14
IA,Female,Pancreas,Total Recovered,4
IN,Female,Pancreas,Total Recovered,17
IL,Female,Pancreas,Total Recovered,33
HI,Female,Pancreas,Total Recovered,1
GA,Female,Pancreas,Total Recovered,12
FL,Female,Pancreas,Total Recovered,23
DC,Female,Pancreas,Total Recovered,4
CT,Female,Pancreas,Total Recovered,1
CO,Female,Pancreas,Total Recovered,4
CA,Female,Pancreas,Total Recovered,43
AR,Female,Pancreas,Total Recovered,0
AZ,Female,Pancreas,Total Recovered,6
AL,Female,Pancreas,Total Recovered,6
WI,Female,Liver,Total Recovered,63
WA,Female,Liver,Total Recovered,61
VA,Female,Liver,Total Recovered,62
UT,Female,Liver,Total Recovered,19
TX,Female,Liver,Total Recovered,213
TN,Female,Liver,Total Recovered,110
SC,Female,Liver,Total Recovered,44
PR,Female,Liver,Total Recovered,32
PA,Female,Liver,Total Recovered,221
OR,Female,Liver,Total Recovered,28
OK,Female,Liver,Total Recovered,36
OH,Female,Liver,Total Recovered,96
NC,Female,Liver,Total Recovered,99
NY,Female,Liver,Total Recovered,118
NM,Female,Liver,Total Recovered,8
NJ,Female,Liver,Total Recovered,26
NV,Female,Liver,Total Recovered,29
NE,Female,Liver,Total Recovered,13
MO,Female,Liver,Total Recovered,70
MS,Female,Liver,Total Recovered,26
MN,Female,Liver,Total Recovered,54
MI,Female,Liver,Total Recovered,84
MA,Female,Liver,Total Recovered,54
MD,Female,Liver,Total Recovered,53
LA,Female,Liver,Total Recovered,70
KY,Female,Liver,Total Recovered,31
KS,Female,Liver,Total Recovered,64
IA,Female,Liver,Total Recovered,17
IN,Female,Liver,Total Recovered,52
IL,Female,Liver,Total Recovered,90
HI,Female,Liver,Total Recovered,11
GA,Female,Liver,Total Recovered,111
FL,Female,Liver,Total Recovered,189
DC,Female,Liver,Total Recovered,41
CT,Female,Liver,Total Recovered,13
CO,Female,Liver,Total Recovered,36
CA,Female,Liver,Total Recovered,261
AR,Female,Liver,Total Recovered,26
AZ,Female,Liver,Total Recovered,40
AL,Female,Liver,Total Recovered,52
WI,Female,Intestine,Total Recovered,1
WA,Female,Intestine,Total Recovered,1
VA,Female,Intestine,Total Recovered,3
UT,Female,Intestine,Total Recovered,2
TX,Female,Intestine,Total Recovered,2
TN,Female,Intestine,Total Recovered,5
SC,Female,Intestine,Total Recovered,2
PR,Female,Intestine,Total Recovered,0
PA,Female,Intestine,Total Recovered,2
OR,Female,Intestine,Total Recovered,0
OK,Female,Intestine,Total Recovered,1
OH,Female,Intestine,Total Recovered,0
NC,Female,Intestine,Total Recovered,3
NY,Female,Intestine,Total Recovered,3
NM,Female,Intestine,Total Recovered,0
NJ,Female,Intestine,Total Recovered,0
NV,Female,Intestine,Total Recovered,1
NE,Female,Intestine,Total Recovered,0
MO,Female,Intestine,Total Recovered,0
MS,Female,Intestine,Total Recovered,1
MN,Female,Intestine,Total Recovered,0
MI,Female,Intestine,Total Recovered,3
MA,Female,Intestine,Total Recovered,0
MD,Female,Intestine,Total Recovered,0
LA,Female,Intestine,Total Recovered,1
KY,Female,Intestine,Total Recovered,2
KS,Female,Intestine,Total Recovered,0
IA,Female,Intestine,Total Recovered,0
IN,Female,Intestine,Total Recovered,2
IL,Female,Intestine,Total Recovered,3
HI,Female,Intestine,Total Recovered,0
GA,Female,Intestine,Total Recovered,2
FL,Female,Intestine,Total Recovered,2
DC,Female,Intestine,Total Recovered,0
CT,Female,Intestine,Total Recovered,0
CO,Female,Intestine,Total Recovered,0
CA,Female,Intestine,Total Recovered,5
AR,Female,Intestine,Total Recovered,0
AZ,Female,Intestine,Total Recovered,0
AL,Female,Intestine,Total Recovered,1
WI,Female,Heart,Total Recovered,17
WA,Female,Heart,Total Recovered,22
VA,Female,Heart,Total Recovered,14
UT,Female,Heart,Total Recovered,7
TX,Female,Heart,Total Recovered,65
TN,Female,Heart,Total Recovered,26
SC,Female,Heart,Total Recovered,14
PR,Female,Heart,Total Recovered,2
PA,Female,Heart,Total Recovered,55
OR,Female,Heart,Total Recovered,8
OK,Female,Heart,Total Recovered,13
OH,Female,Heart,Total Recovered,30
NC,Female,Heart,Total Recovered,28
NY,Female,Heart,Total Recovered,27
NM,Female,Heart,Total Recovered,2
NJ,Female,Heart,Total Recovered,9
NV,Female,Heart,Total Recovered,10
NE,Female,Heart,Total Recovered,3
MO,Female,Heart,Total Recovered,21
MS,Female,Heart,Total Recovered,10
MN,Female,Heart,Total Recovered,16
MI,Female,Heart,Total Recovered,35
MA,Female,Heart,Total Recovered,20
MD,Female,Heart,Total Recovered,15
LA,Female,Heart,Total Recovered,13
KY,Female,Heart,Total Recovered,8
KS,Female,Heart,Total Recovered,26
IA,Female,Heart,Total Recovered,5
IN,Female,Heart,Total Recovered,23
IL,Female,Heart,Total Recovered,31
HI,Female,Heart,Total Recovered,0
GA,Female,Heart,Total Recovered,29
FL,Female,Heart,Total Recovered,62
DC,Female,Heart,Total Recovered,7
CT,Female,Heart,Total Recovered,4
CO,Female,Heart,Total Recovered,15
CA,Female,Heart,Total Recovered,90
AR,Female,Heart,Total Recovered,2
AZ,Female,Heart,Total Recovered,11
AL,Female,Heart,Total Recovered,13
WI,Female,Lung,Total Recovered,33
WA,Female,Lung,Total Recovered,26
VA,Female,Lung,Total Recovered,25
UT,Female,Lung,Total Recovered,8
TX,Female,Lung,Total Recovered,137
TN,Female,Lung,Total Recovered,33
SC,Female,Lung,Total Recovered,16
PR,Female,Lung,Total Recovered,9
PA,Female,Lung,Total Recovered,98
OR,Female,Lung,Total Recovered,6
OK,Female,Lung,Total Recovered,17
OH,Female,Lung,Total Recovered,60
NC,Female,Lung,Total Recovered,70
NY,Female,Lung,Total Recovered,23
NM,Female,Lung,Total Recovered,1
NJ,Female,Lung,Total Recovered,12
NV,Female,Lung,Total Recovered,20
NE,Female,Lung,Total Recovered,4
MO,Female,Lung,Total Recovered,66
MS,Female,Lung,Total Recovered,12
MN,Female,Lung,Total Recovered,21
MI,Female,Lung,Total Recovered,54
MA,Female,Lung,Total Recovered,32
MD,Female,Lung,Total Recovered,28
LA,Female,Lung,Total Recovered,34
KY,Female,Lung,Total Recovered,14
KS,Female,Lung,Total Recovered,37
IA,Female,Lung,Total Recovered,4
IN,Female,Lung,Total Recovered,30
IL,Female,Lung,Total Recovered,26
HI,Female,Lung,Total Recovered,4
GA,Female,Lung,Total Recovered,49
FL,Female,Lung,Total Recovered,100
DC,Female,Lung,Total Recovered,16
CT,Female,Lung,Total Recovered,4
CO,Female,Lung,Total Recovered,14
CA,Female,Lung,Total Recovered,138
AR,Female,Lung,Total Recovered,19
AZ,Female,Lung,Total Recovered,15
AL,Female,Lung,Total Recovered,9
WI,Female,All Organs,Total Transplanted,235
WA,Female,All Organs,Total Transplanted,237
VA,Female,All Organs,Total Transplanted,190
UT,Female,All Organs,Total Transplanted,100
TX,Female,All Organs,Total Transplanted,757
TN,Female,All Organs,Total Transplanted,350
SC,Female,All Organs,Total Transplanted,132
PR,Female,All Organs,Total Transplanted,87
PA,Female,All Organs,Total Transplanted,627
OR,Female,All Organs,Total Transplanted,100
OK,Female,All Organs,Total Transplanted,127
OH,Female,All Organs,Total Transplanted,386
NC,Female,All Organs,Total Transplanted,377
NY,Female,All Organs,Total Transplanted,352
NM,Female,All Organs,Total Transplanted,34
NJ,Female,All Organs,Total Transplanted,111
NV,Female,All Organs,Total Transplanted,111
NE,Female,All Organs,Total Transplanted,52
MO,Female,All Organs,Total Transplanted,276
MS,Female,All Organs,Total Transplanted,90
MN,Female,All Organs,Total Transplanted,193
MI,Female,All Organs,Total Transplanted,343
MA,Female,All Organs,Total Transplanted,221
MD,Female,All Organs,Total Transplanted,166
LA,Female,All Organs,Total Transplanted,216
KY,Female,All Organs,Total Transplanted,116
KS,Female,All Organs,Total Transplanted,258
IA,Female,All Organs,Total Transplanted,65
IN,Female,All Organs,Total Transplanted,213
IL,Female,All Organs,Total Transplanted,313
HI,Female,All Organs,Total Transplanted,37
GA,Female,All Organs,Total Transplanted,342
FL,Female,All Organs,Total Transplanted,674
DC,Female,All Organs,Total Transplanted,129
CT,Female,All Organs,Total Transplanted,39
CO,Female,All Organs,Total Transplanted,127
CA,Female,All Organs,Total Transplanted,1009
AR,Female,All Organs,Total Transplanted,79
AZ,Female,All Organs,Total Transplanted,130
AL,Female,All Organs,Total Transplanted,155
WI,Female,Kidney,Total Transplanted,116
WA,Female,Kidney,Total Transplanted,132
VA,Female,Kidney,Total Transplanted,94
UT,Female,Kidney,Total Transplanted,63
TX,Female,Kidney,Total Transplanted,333
TN,Female,Kidney,Total Transplanted,167
SC,Female,Kidney,Total Transplanted,57
PR,Female,Kidney,Total Transplanted,47
PA,Female,Kidney,Total Transplanted,313
OR,Female,Kidney,Total Transplanted,57
OK,Female,Kidney,Total Transplanted,65
OH,Female,Kidney,Total Transplanted,185
NC,Female,Kidney,Total Transplanted,185
NY,Female,Kidney,Total Transplanted,182
NM,Female,Kidney,Total Transplanted,23
NJ,Female,Kidney,Total Transplanted,68
NV,Female,Kidney,Total Transplanted,49
NE,Female,Kidney,Total Transplanted,30
MO,Female,Kidney,Total Transplanted,116
MS,Female,Kidney,Total Transplanted,46
MN,Female,Kidney,Total Transplanted,97
MI,Female,Kidney,Total Transplanted,158
MA,Female,Kidney,Total Transplanted,120
MD,Female,Kidney,Total Transplanted,76
LA,Female,Kidney,Total Transplanted,92
KY,Female,Kidney,Total Transplanted,59
KS,Female,Kidney,Total Transplanted,127
IA,Female,Kidney,Total Transplanted,39
IN,Female,Kidney,Total Transplanted,104
IL,Female,Kidney,Total Transplanted,146
HI,Female,Kidney,Total Transplanted,25
GA,Female,Kidney,Total Transplanted,148
FL,Female,Kidney,Total Transplanted,317
DC,Female,Kidney,Total Transplanted,70
CT,Female,Kidney,Total Transplanted,18
CO,Female,Kidney,Total Transplanted,61
CA,Female,Kidney,Total Transplanted,527
AR,Female,Kidney,Total Transplanted,35
AZ,Female,Kidney,Total Transplanted,66
AL,Female,Kidney,Total Transplanted,79
WI,Female,Pancreas,Total Transplanted,17
WA,Female,Pancreas,Total Transplanted,8
VA,Female,Pancreas,Total Transplanted,8
UT,Female,Pancreas,Total Transplanted,1
TX,Female,Pancreas,Total Transplanted,24
TN,Female,Pancreas,Total Transplanted,17
SC,Female,Pancreas,Total Transplanted,6
PR,Female,Pancreas,Total Transplanted,1
PA,Female,Pancreas,Total Transplanted,12
OR,Female,Pancreas,Total Transplanted,4
OK,Female,Pancreas,Total Transplanted,5
OH,Female,Pancreas,Total Transplanted,20
NC,Female,Pancreas,Total Transplanted,11
NY,Female,Pancreas,Total Transplanted,10
NM,Female,Pancreas,Total Transplanted,1
NJ,Female,Pancreas,Total Transplanted,3
NV,Female,Pancreas,Total Transplanted,5
NE,Female,Pancreas,Total Transplanted,2
MO,Female,Pancreas,Total Transplanted,9
MS,Female,Pancreas,Total Transplanted,1
MN,Female,Pancreas,Total Transplanted,9
MI,Female,Pancreas,Total Transplanted,14
MA,Female,Pancreas,Total Transplanted,4
MD,Female,Pancreas,Total Transplanted,6
LA,Female,Pancreas,Total Transplanted,10
KY,Female,Pancreas,Total Transplanted,3
KS,Female,Pancreas,Total Transplanted,11
IA,Female,Pancreas,Total Transplanted,2
IN,Female,Pancreas,Total Transplanted,13
IL,Female,Pancreas,Total Transplanted,21
HI,Female,Pancreas,Total Transplanted,1
GA,Female,Pancreas,Total Transplanted,12
FL,Female,Pancreas,Total Transplanted,18
DC,Female,Pancreas,Total Transplanted,4
CT,Female,Pancreas,Total Transplanted,1
CO,Female,Pancreas,Total Transplanted,4
CA,Female,Pancreas,Total Transplanted,29
AR,Female,Pancreas,Total Transplanted,0
AZ,Female,Pancreas,Total Transplanted,5
AL,Female,Pancreas,Total Transplanted,4
WI,Female,Liver,Total Transplanted,52
WA,Female,Liver,Total Transplanted,48
VA,Female,Liver,Total Transplanted,48
UT,Female,Liver,Total Transplanted,19
TX,Female,Liver,Total Transplanted,199
TN,Female,Liver,Total Transplanted,104
SC,Female,Liver,Total Transplanted,38
PR,Female,Liver,Total Transplanted,28
PA,Female,Liver,Total Transplanted,171
OR,Female,Liver,Total Transplanted,25
OK,Female,Liver,Total Transplanted,26
OH,Female,Liver,Total Transplanted,93
NC,Female,Liver,Total Transplanted,90
NY,Female,Liver,Total Transplanted,108
NM,Female,Liver,Total Transplanted,7
NJ,Female,Liver,Total Transplanted,19
NV,Female,Liver,Total Transplanted,26
NE,Female,Liver,Total Transplanted,13
MO,Female,Liver,Total Transplanted,65
MS,Female,Liver,Total Transplanted,23
MN,Female,Liver,Total Transplanted,50
MI,Female,Liver,Total Transplanted,79
MA,Female,Liver,Total Transplanted,49
MD,Female,Liver,Total Transplanted,48
LA,Female,Liver,Total Transplanted,67
KY,Female,Liver,Total Transplanted,30
KS,Female,Liver,Total Transplanted,58
IA,Female,Liver,Total Transplanted,15
IN,Female,Liver,Total Transplanted,42
IL,Female,Liver,Total Transplanted,87
HI,Female,Liver,Total Transplanted,7
GA,Female,Liver,Total Transplanted,103
FL,Female,Liver,Total Transplanted,182
DC,Female,Liver,Total Transplanted,32
CT,Female,Liver,Total Transplanted,12
CO,Female,Liver,Total Transplanted,33
CA,Female,Liver,Total Transplanted,227
AR,Female,Liver,Total Transplanted,23
AZ,Female,Liver,Total Transplanted,34
AL,Female,Liver,Total Transplanted,49
WI,Female,Intestine,Total Transplanted,1
WA,Female,Intestine,Total Transplanted,1
VA,Female,Intestine,Total Transplanted,3
UT,Female,Intestine,Total Transplanted,2
TX,Female,Intestine,Total Transplanted,2
TN,Female,Intestine,Total Transplanted,5
SC,Female,Intestine,Total Transplanted,2
PR,Female,Intestine,Total Transplanted,0
PA,Female,Intestine,Total Transplanted,2
OR,Female,Intestine,Total Transplanted,0
OK,Female,Intestine,Total Transplanted,1
OH,Female,Intestine,Total Transplanted,0
NC,Female,Intestine,Total Transplanted,3
NY,Female,Intestine,Total Transplanted,3
NM,Female,Intestine,Total Transplanted,0
NJ,Female,Intestine,Total Transplanted,0
NV,Female,Intestine,Total Transplanted,1
NE,Female,Intestine,Total Transplanted,0
MO,Female,Intestine,Total Transplanted,0
MS,Female,Intestine,Total Transplanted,1
MN,Female,Intestine,Total Transplanted,0
MI,Female,Intestine,Total Transplanted,3
MA,Female,Intestine,Total Transplanted,0
MD,Female,Intestine,Total Transplanted,0
LA,Female,Intestine,Total Transplanted,1
KY,Female,Intestine,Total Transplanted,2
KS,Female,Intestine,Total Transplanted,0
IA,Female,Intestine,Total Transplanted,0
IN,Female,Intestine,Total Transplanted,2
IL,Female,Intestine,Total Transplanted,3
HI,Female,Intestine,Total Transplanted,0
GA,Female,Intestine,Total Transplanted,2
FL,Female,Intestine,Total Transplanted,1
DC,Female,Intestine,Total Transplanted,0
CT,Female,Intestine,Total Transplanted,0
CO,Female,Intestine,Total Transplanted,0
CA,Female,Intestine,Total Transplanted,4
AR,Female,Intestine,Total Transplanted,0
AZ,Female,Intestine,Total Transplanted,0
AL,Female,Intestine,Total Transplanted,1
WI,Female,Heart,Total Transplanted,16
WA,Female,Heart,Total Transplanted,22
VA,Female,Heart,Total Transplanted,13
UT,Female,Heart,Total Transplanted,7
TX,Female,Heart,Total Transplanted,65
TN,Female,Heart,Total Transplanted,25
SC,Female,Heart,Total Transplanted,13
PR,Female,Heart,Total Transplanted,2
PA,Female,Heart,Total Transplanted,52
OR,Female,Heart,Total Transplanted,8
OK,Female,Heart,Total Transplanted,13
OH,Female,Heart,Total Transplanted,30
NC,Female,Heart,Total Transplanted,27
NY,Female,Heart,Total Transplanted,27
NM,Female,Heart,Total Transplanted,2
NJ,Female,Heart,Total Transplanted,9
NV,Female,Heart,Total Transplanted,10
NE,Female,Heart,Total Transplanted,3
MO,Female,Heart,Total Transplanted,21
MS,Female,Heart,Total Transplanted,10
MN,Female,Heart,Total Transplanted,16
MI,Female,Heart,Total Transplanted,35
MA,Female,Heart,Total Transplanted,20
MD,Female,Heart,Total Transplanted,13
LA,Female,Heart,Total Transplanted,13
KY,Female,Heart,Total Transplanted,8
KS,Female,Heart,Total Transplanted,26
IA,Female,Heart,Total Transplanted,5
IN,Female,Heart,Total Transplanted,23
IL,Female,Heart,Total Transplanted,31
HI,Female,Heart,Total Transplanted,0
GA,Female,Heart,Total Transplanted,29
FL,Female,Heart,Total Transplanted,61
DC,Female,Heart,Total Transplanted,7
CT,Female,Heart,Total Transplanted,4
CO,Female,Heart,Total Transplanted,15
CA,Female,Heart,Total Transplanted,87
AR,Female,Heart,Total Transplanted,2
AZ,Female,Heart,Total Transplanted,11
AL,Female,Heart,Total Transplanted,13
WI,Female,Lung,Total Transplanted,33
WA,Female,Lung,Total Transplanted,26
VA,Female,Lung,Total Transplanted,24
UT,Female,Lung,Total Transplanted,8
TX,Female,Lung,Total Transplanted,134
TN,Female,Lung,Total Transplanted,32
SC,Female,Lung,Total Transplanted,16
PR,Female,Lung,Total Transplanted,9
PA,Female,Lung,Total Transplanted,77
OR,Female,Lung,Total Transplanted,6
OK,Female,Lung,Total Transplanted,17
OH,Female,Lung,Total Transplanted,58
NC,Female,Lung,Total Transplanted,61
NY,Female,Lung,Total Transplanted,22
NM,Female,Lung,Total Transplanted,1
NJ,Female,Lung,Total Transplanted,12
NV,Female,Lung,Total Transplanted,20
NE,Female,Lung,Total Transplanted,4
MO,Female,Lung,Total Transplanted,65
MS,Female,Lung,Total Transplanted,9
MN,Female,Lung,Total Transplanted,21
MI,Female,Lung,Total Transplanted,54
MA,Female,Lung,Total Transplanted,28
MD,Female,Lung,Total Transplanted,23
