,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,perCapInc,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,PersPerFam,PctFam2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,PctKidsBornNeverMar,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccMedVal,OwnOccQrange,RentMedian,RentQrange,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,ViolentCrimesPerPop
611,35701,2.46,3.17,93.5,1.8,3.84,11.46,28.31,13.17,14.76,100,30786,75.25,0.18,39.13,31.65,8.59,18.34,14220,13670,24170,11018,9485,8166,9.6,9.36,27.07,7.59,60.31,12.82,24.08,12.3,20.97,7.76,37.33,11.38,3.05,69.68,73.37,69.9,45.85,59.4,2.88,15.42,23.64,28.57,32.85,1.75,84.18,3.18,4.38,2.43,2.68,2.25,45.64,2.52,63.34,2,888,94.24,0.9,36.37,1939,1.67,0.5,156100,45300,521,246,25.1,24.2,13.7,11.31,79.86,63.89,87.19,94.49,3.5,10186.3,17.59,1678.08
612,17233,2.71,0.86,97.25,1.24,2.7,12.47,27.19,12.51,9.72,95.07,45191,82.42,0.55,47.89,23.15,4.3,13.53,18327,30545,48727,15923,4230,11526,3.61,8.98,22.95,5.46,71.41,36.68,18.59,13.99,34.61,6.92,30.7,8.83,3.19,84.2,88.37,86.52,62.99,72.85,1.28,6.9,11.04,17.34,20.58,0.99,81,4.32,4.7,2.7,2.92,2.2,74.41,1.37,39.54,3,323,95.17,0.93,30.65,1963,2.25,0.73,164900,46600,531,293,26.5,22.1,13.7,14.29,67.92,63.05,88.96,93.5,11.9,1445.6,0.6,151.13
613,35317,2.36,1,97.72,0.78,1.95,10.4,20.43,9.47,21.3,100,26472,66.48,0.82,46.54,40.83,3.15,26.55,13391,15802,10908,5401,11296,12017,8.22,5.35,20.23,4.54,55.3,7.84,22.45,8.63,24.67,9.46,20.81,12.41,2.75,78.23,89.78,72.82,67.41,77.94,0.92,2.54,5.72,8.63,12.39,0.14,92.48,0.62,2.14,2.35,2.36,2.32,79.08,1.53,57.92,2,2055,87.93,0.49,19.42,1981,2.2,0.26,78900,29700,443,148,28.7,24.3,11.8,5.35,20.28,41.21,66.7,73.03,20.8,1694,0.6,184.39
614,16139,2.96,9.65,77.61,8.59,9.59,13.34,30.13,12.97,2.87,100,53840,96.55,0.68,47.72,7.29,1.71,7.81,19314,14955,11320,12292,12961,14600,3.19,5.19,12.22,2.42,84.67,8.12,19.91,8.02,36.04,8.16,32.58,12.44,3.32,82.29,93.13,86.73,77.15,82.18,2.4,25.84,46.41,60.86,74.26,4.71,77.9,4.43,6.89,2.96,3.02,2.85,65.66,5.05,27.69,3,340,94.12,2.35,12.35,1976,1.56,0.29,171200,61700,668,195,24.5,25.1,11.6,18.22,28.19,31.02,59.48,72.13,4.4,3684.7,3.15,127.65
615,17635,2.83,0.18,97.33,0.33,3.16,15.27,27.34,11.48,3.95,0,35532,91.56,2.6,37.91,10.78,3.94,6.46,13671,1728,5669,9344,14274,7615,9.69,2.38,11.26,5.31,72.94,2.05,22.71,17.06,23.45,11.08,25.34,13.17,3.31,78.42,86.49,81.03,58.58,68.48,1.5,24.35,24.35,24.35,31.3,0.16,96.57,0.4,4.49,2.78,3.04,2.34,69.03,2.21,41.34,3,837,88.17,1.19,44.68,1977,4.44,0.83,68300,32700,298,145,20.9,17.1,14,0.65,36.22,40.09,73.77,84.46,13.4,1314.9,1.88,375.3
616,99567,2.47,0.97,96.97,1.1,2.13,12.69,29.69,14.17,12.17,100,31911,79.96,0.5,44.61,25.99,5.86,13.83,15111,9625,8595,12818,8309,9600,8.99,11.74,25.06,7.07,65.92,18.34,21.49,14.59,24.55,10.74,33.47,13.33,3.01,71.67,76.81,71.42,69.15,76.26,2.99,15.61,22.11,27.33,29.71,1.06,81.17,1.7,3.45,2.4,2.69,2.15,51.62,1.61,58.39,2,4023,90.93,2.11,23.39,1953,5.81,0.39,118600,42800,467,186,26.3,23.4,15.1,6.77,60.24,49.01,78.16,85.75,34.2,2910.9,1.41,223.14
617,33823,2.66,1.04,98.08,0.77,0.49,11.26,21.33,9.85,12.53,100,41149,79.82,0.31,62.67,28.84,1.75,20.65,17603,10792,3968,22737,14067,10268,3.81,3.29,10.34,3.78,62.96,12.59,26.71,6.75,37.31,5.2,23.88,7.38,3.08,88.95,95.86,87.82,52.19,61.13,0.55,4.79,5.67,6.55,13.1,0.11,94.81,0.33,3.26,2.65,2.85,1.8,86.95,0.42,25.61,3,305,97.65,0.98,42.95,1963,0.41,0.18,82200,41400,458,159,25.3,20.1,12.9,2.35,79.85,67.85,89.19,92.68,12.1,2793.2,11.79,58.24
618,13087,2.62,24.9,70.94,2.83,2.45,13.56,26.55,12.2,9.37,0,30043,78.91,0.56,35.95,22.4,8.4,25.43,13041,10277,4242,12661,8958,11044,10.66,7.93,25.29,5.96,65.23,14.57,19.06,16.71,22.03,11.73,29.33,16.58,3.07,64.15,69.01,67.45,70.33,74.09,5.65,2.9,3.66,10.67,15.4,0.15,92.42,0.62,4.29,2.61,2.78,2.43,55.7,3.3,46.78,3,213,95.91,3.76,25.35,1964,7.84,0.79,84100,35400,359,125,26.2,20.3,12.1,5.01,50.94,51.62,79.5,84.59,5.5,2389.5,0.37,1032.91
619,14997,2.72,0.69,98.39,0.46,0.64,12.23,25.71,11.64,10.12,4.89,37889,79.93,0.79,35.93,25.23,6.68,16.18,15423,7119,13672,26716,4228,16295,6.25,8.49,20.07,8.27,64.89,25.68,22.9,14.31,27.73,9.25,30.05,11.78,3.13,75.54,85.4,83.03,60.95,70.49,2.63,5.45,8.37,13.42,13.42,0.19,92.79,0.55,4.11,2.64,2.89,2.3,63.07,1.67,48.23,3,474,92.09,0.21,53.16,1948,2.65,0.2,150900,58300,543,202,24.6,24.6,15.9,3.4,74.92,54.28,88.25,92.78,12.9,1166.8,0.84,566.68
620,16996,2.4,8.45,90.6,0.46,0.82,13.71,24.36,11.91,17.6,0,14868,61.42,1.15,28.09,41.57,18.17,16.84,9100,4657,15105,17710,663,13616,26.82,21.98,41.94,8.52,49.67,12.21,31.38,15.69,23.69,13.54,22.85,16.87,2.95,63.66,62.31,73.4,62.85,70.45,3.67,14.29,14.29,21.16,21.16,0.16,97.22,0.58,3.67,2.34,2.36,2.31,56.43,2.67,54.85,2,733,90.61,4.23,47.2,1962,11.42,1.13,34200,33700,183,108,27.6,18.8,13,1.11,71.25,48.52,78.04,89.98,10.7,1584.9,0.56,457.72
621,10415,2.76,0.35,99.08,0.31,0.57,12.77,25.62,11.64,11.44,60.25,40059,81.05,0.66,44.25,29.39,6.44,16.88,16531,26000,6260,0,0,0,5.87,9.61,23.43,6.65,65.87,25.25,22.36,15.79,24.46,5.84,28.82,8.91,3.2,84.73,90.23,80.03,59.5,73.74,1.42,4.26,18.3,18.3,20.85,0.1,93.37,0.1,4.88,2.76,2.92,2.35,75.6,1.46,38.2,3,190,95.21,2.63,32.11,1951,1.4,0.43,142200,55400,461,295,24.2,22.4,13.8,2.26,76.25,58.35,83.56,92.71,30.6,340.2,0.26,645.16
622,13068,2.52,5.52,93.2,0.74,1.06,17.39,35.2,19.89,12.01,0,31298,76.7,0.18,44.41,27.85,4.47,13.21,14148,8579,12709,15998,8471,7580,8.51,9.51,24.82,3.73,64.03,14.29,24.96,12.43,27.1,11.28,35.27,15.58,2.92,66.31,82.72,63.87,68.76,73.97,2.46,24.77,24.77,26.64,33.64,0.41,96.28,0.29,2.72,2.31,2.58,2.1,48.86,1.33,49.99,3,289,94.72,0.35,25.95,1974,2.3,0,94300,37100,398,177,25.6,23.3,11.6,1.64,66.78,37.53,68.42,87.48,5.7,2283.7,0.76,485.77
623,11929,2.94,0.75,94.89,3.91,1.08,13.26,23.66,11.1,6.89,80.58,57963,88.78,0.7,60.25,16.25,3.27,10.85,22795,45728,17120,20694,21818,24615,2.82,2.43,10.11,4.57,73.62,25.22,23.55,7.13,40.51,5.76,27.54,8.75,3.26,88,98.47,87.02,58.97,70.49,1.02,14.65,32.51,47.81,48.77,1.15,92.43,1.07,3.78,2.9,3.05,2.25,85.34,0.64,25.48,3,122,97.08,0.82,40.98,1966,0.22,0.24,181700,82600,615,432,22,21.6,13.3,7.84,66.98,60.61,76.13,91.11,19.2,621.2,0.61,209.22
624,10621,2.51,13.64,83.98,1.86,1.07,12.67,25.89,12,11.19,100,38128,80.93,0.4,47.66,24.6,3.6,17.85,17310,17696,0,18331,5430,9541,4.01,6.65,17.83,3.59,67.33,22.19,19.55,10.8,32.63,8.88,26.73,12.11,2.99,76.31,84.7,79.59,70.39,74.4,1.1,15.41,15.41,23.3,30.11,0.4,94.81,1.07,3.05,2.46,2.69,2.11,66.25,1.2,37.49,3,190,95.71,0.53,12.63,1970,0.71,0.18,73300,29000,473,207,23.9,16.6,11.5,2.63,59.38,50.89,77.22,86.29,5.1,2081.4,1.17,280.93
625,14967,2.6,17.59,81.3,0.63,0.79,13.56,26.03,11.61,7.51,100,36999,86.99,0.77,40.13,19.6,2.81,12.7,16348,11113,17922,13218,17600,12130,4.63,6.84,15.17,2.87,73.48,10.78,21.9,8.96,30.52,7.98,25.52,12.95,3,78.04,89,77.05,80.9,85.27,1.02,6.19,6.19,21.24,21.24,0.09,97.75,0.29,2.31,2.57,2.7,2.33,68.96,1.2,30.31,3,211,96.47,0.47,37.91,1974,1.32,0.07,78100,30800,394,137,24.5,21.7,11.7,1.51,70.08,49.25,77.25,88.56,11.8,1269.7,0.37,281.32
626,13512,2.73,1.15,84.64,13.62,2.95,13.06,18.79,9.98,13.7,100,101320,79.36,1.67,75,23.8,1.87,18.7,50273,55253,67110,46137,23284,20133,2.25,1.87,3.98,3.56,60.31,14.54,31.6,1.54,58.15,3.8,22.15,6.81,2.96,91.21,98.7,93.53,39.88,49.59,0,19.3,21.54,33.27,39.36,3.19,80.68,2.96,3.53,2.73,2.77,2.37,92.02,0.93,15.65,4,185,96.39,1.62,20,1960,0,0.23,500001,0,1001,80,19.5,24,10.6,16.53,39.01,66.45,88.72,91.57,5,2713.3,0.88,99.9
627,31933,2.54,6.71,92.34,0.52,0.77,16.85,29.84,16.92,13.49,100,20290,72.6,0.27,35.75,32.28,12.82,15.79,10276,6834,9018,13960,2839,6208,21.12,8.14,27.68,9.51,52.76,25.66,25.16,23.39,19.98,11.18,37.12,15.7,3.05,61.82,65.51,72.07,55.6,63.99,5.5,17.17,20.71,25.34,40.33,0.2,96.13,0.43,4.8,2.42,2.6,2.27,49.82,2.23,44.07,3,738,94.46,3.39,42.01,1939,6.67,0.62,44900,29900,248,121,27.2,19.9,13.8,1.15,86.42,51.44,82.42,92.8,9.2,3468.4,5.42,316.55
628,11005,2.92,0.76,97.48,1.46,0.87,16.11,25.58,12.21,7.49,100,43236,84.85,1.01,54.04,20.6,1.54,22.2,16930,30940,7663,8563,38667,53827,2.84,5.46,15.64,2.91,68.46,15.32,25.47,8.36,34.91,5.94,23.44,7.84,3.18,85.31,92.32,89.36,60.93,70.86,0.71,3.03,5.63,15.58,16.88,0.06,95.75,0.26,3.34,2.9,2.92,2.77,83.47,0.98,20.77,3,121,96.89,3.31,50.41,1973,1.51,0.23,113700,68200,475,250,25.6,22.2,12.2,2.1,52.23,53.05,65.15,80.9,16.1,684.6,0.44,355.9
629,16813,3.02,0.08,99.33,0.24,0.86,14.58,25.15,11.33,7.6,100,46119,87.7,1.2,59.54,20.53,2.92,14.45,15983,0,4617,12000,14416,14367,2.66,3.88,13.6,2.93,73.97,26.89,18.35,16.05,24.88,5.33,24.16,6.01,3.28,89.16,97.1,89.36,67.85,76.56,0.46,5.28,5.28,9.01,13.35,0.1,96.21,0.66,4.29,3,3.11,2.4,87.83,1.08,23.25,3,196,96.6,1.02,30.1,1970,0.07,0.19,91700,37000,545,213,24.9,20.9,13.3,1.92,83.19,58.45,72.52,96.22,32.4,519.7,0.53,29.8
630,13116,2.44,0.99,93.95,2.62,4.93,17.19,32.43,18.85,9.06,100,29099,81.58,1.8,48.61,18.68,3.47,14.13,14969,10175,8665,6601,9579,9799,11.52,3.3,11.94,5.14,64.64,15.14,27.85,11.19,34.92,11.24,42.9,15.55,2.82,72.4,86.26,75.61,67.6,74.22,0.86,33.33,44.44,48.48,50.51,1.76,92.18,0.4,2.34,2.22,2.37,2.03,60.59,1.9,55.18,2,443,92.39,1.35,28.44,1970,3.22,0.31,94700,43800,374,144,27.4,23.4,12.9,5.27,37.81,37.97,63.5,80.73,7.8,1685,2.86,286.09
631,16881,2.81,2.29,89.5,5.41,5.97,9.97,24.67,7.77,1.66,0,58815,96.62,1.63,52.28,4.82,0.64,5.5,22512,15706,10258,15351,10851,15721,2.51,1.79,5.29,2.28,82.41,15.36,17.93,5.19,45.1,7.39,18.3,10.87,3.14,87.34,96.21,82.39,62.81,70.69,0.84,16.15,25.58,37.49,53.64,1.2,87.31,1.34,2.91,2.81,2.92,2.47,79.32,2.37,27.12,3,407,93.64,0.74,42.75,1985,0.73,0.31,114000,54300,535,260,21.4,23.2,13.1,7.37,46.37,28.76,57.73,78.83,15.3,1106.5,0.72,44.22
633,131723,3.61,14.43,57.02,6.67,51.27,16.1,32.83,16.31,6.19,100,32132,82.82,0.53,25.88,18.05,13.01,11.02,10728,10359,11504,10714,7007,6930,18.43,21.66,40.4,9.08,60.3,26.29,17.92,24.25,19.68,8.9,39.85,13.43,3.96,71.83,78.63,72.57,51.64,57.38,7.14,20.77,32.01,42.67,55.28,6.56,50.43,17.57,21.98,3.52,3.47,3.59,56.57,25.49,56.28,2,2023,94.74,4.15,18.78,1963,5.64,0.44,134200,64400,527,219,32,26.8,11.6,31.57,45.96,40.16,79.41,88.17,23.6,5570.2,3.24,1627.33
634,32520,2.47,0.22,96.37,2.52,1.15,11.81,23.19,10.69,17.02,0,24202,71.73,0.34,57.06,36.77,8.02,18.1,12286,7440,7281,2211,9863,5198,10.65,12.71,25.55,5.79,57.24,35.79,22.83,24.34,21.63,7.96,27.52,9.43,3.03,78.34,86.1,80.85,68.61,74.55,1.4,35.19,40.43,42.82,62.07,0.95,93.99,1.48,4,2.39,2.58,2.01,71.32,1.53,43.24,3,584,95.75,1.37,48.29,1950,3.01,0.23,48100,25400,237,118,23.5,17.1,12.3,2.7,84.27,60.66,87.41,93.57,14.9,2177.5,0.91,110.97
635,44654,2.76,2.56,81.68,0.6,36.49,16.07,26.56,13.25,14.38,0,21870,69.38,1.68,34.5,33.84,10.49,17.64,10830,4759,5875,8768,5704,5869,21.62,14.59,30.72,6.51,53.17,16.31,24.75,17.64,24.42,10.89,26.89,14.96,3.19,69.39,71.86,75.77,57.53,65.74,3.18,9.32,16.24,27.41,36,0.6,73.1,4.14,7.19,2.67,2.68,2.66,69.19,7.01,44.06,3,2047,88.78,5.52,60.77,1961,11.34,0.45,44600,36700,274,148,28.5,19.4,12.8,6.41,48.56,49.94,76.72,84.73,30.2,1478.6,0.07,816.02
637,19807,3.08,1.7,96.9,0.99,0.62,18.64,30.08,17.91,7.33,74.01,50647,86.19,1.24,49.49,19.95,4.01,12.92,19016,16222,31550,16314,17470,14693,4,2.77,9.74,4.71,70.07,14.1,28.47,9.49,34.8,5.72,33.62,7.64,3.29,86.33,93.11,81.29,61.18,72.82,1.09,7.5,15.14,18.5,24.32,0.29,94.85,0.6,5.15,2.87,3.04,2.24,83.2,0.84,36.24,3,272,95.95,1.1,38.24,1971,1.24,0.37,177900,90200,657,378,24.8,22.6,12.4,3.9,79.27,61.57,72.07,93.85,29.5,672.2,3.26,138.91
638,10040,2.6,0.88,87.54,1.94,14.69,14.75,26.11,12.58,11.8,0,20674,72.82,2.29,29.57,28.01,9.49,13.88,9729,5934,5628,14200,3748,4182,19.76,11.14,28.09,10.06,58.31,22.59,17.2,23.18,18.75,12.29,25.57,16.67,3.15,65.8,67.82,77.21,59.07,68.25,3.04,23.19,38.02,50.17,63.32,2.07,84.47,5.88,7.33,2.57,2.61,2.52,53.3,7.22,55.45,2,247,93.99,1.21,37.25,1973,9.53,0.41,47800,26400,252,111,23.4,20.2,15.3,8.93,44.16,41.64,76.87,85.64,5.9,1715.7,0,177.73
639,11553,2.05,16.71,78.47,3.7,1.72,18.2,53.03,32.36,4.06,100,19799,93.23,1.18,45.93,7.46,2.95,6.06,12604,9891,3972,11261,11014,9382,29.43,3.41,11.13,4.87,71.79,6.32,49.06,4.71,38.35,8.26,58.22,10.76,2.75,64.9,81.65,71.09,67.81,69.44,8.12,45.04,59.52,70.38,71.18,2.91,92.67,1.89,1.04,2.05,2.39,1.94,28.37,1.56,75.95,2,471,92.29,0.85,18.9,1977,3.19,0.25,90700,43600,384,130,34.1,24,15.4,6.46,48.55,16.96,40.73,69.73,3.7,3156.6,9.72,585.46
641,175795,2.42,33.98,64.68,0.87,0.76,13.54,27.86,13.17,11.13,100,26889,79.02,0.93,37.56,23.85,5.67,14.37,15307,7559,19763,12880,16843,12926,14.62,6.11,18.05,5.26,64.12,10.37,31.4,10.41,33.74,11.93,31.08,16.45,3.04,64.44,73.91,64.45,70.33,75.92,6.51,22.37,29.36,40.43,49.78,0.46,96.23,0.54,4.72,2.37,2.57,2.11,61.04,3.06,49.15,3,8422,89.6,9.25,36.43,1968,5.86,0.51,64200,48500,318,156,26.9,19.8,13,2.07,70.81,48.8,80.79,89.48,106.6,1649.7,1.44,3255.71
642,17457,2.6,52.56,46.93,0.17,0.49,14.28,24.79,11.38,14.79,0,20349,72.22,0.36,25.4,34.52,14.9,14.97,11204,6190,31966,10928,6757,6091,25.98,15.97,34.89,6.6,56,20.51,34.27,18.73,26.33,11.8,28.23,16.57,3.13,54.99,51.79,51.88,61.26,68.39,7.18,0,7.64,13.38,29.3,0,96.74,0.3,5.64,2.56,2.57,2.54,60.62,5.22,42.78,3,709,90.45,1.55,52.89,1964,11.45,0.46,44100,41500,230,151,27,21.7,14.5,0.9,75.55,49.27,82.27,88.92,15,1162.3,0,591.24
643,29034,2.27,0.82,91.82,0.99,11.11,14.12,25.56,14.13,17.05,100,19042,66.78,0.94,39.4,31.88,9.59,17.68,11723,5741,7863,5748,6889,6473,21.65,8.37,22.87,8.53,52.4,9.55,27.33,13.64,26.02,15.48,29.98,17.92,2.85,61.04,68.4,61.59,54.02,66.44,1.57,11.98,19.23,27.69,35.05,0.41,91.41,1.14,3.25,2.15,2.29,2.02,53.52,2.33,56.99,2,888,93.52,2.93,32.77,1962,6.53,0.39,54100,34400,266,148,27.1,21,12.2,3.42,48.66,36.2,67,84.14,15.4,1887.3,0.13,577.61
644,12476,2.96,8.68,76.02,0.79,22.15,17.63,30.86,16.31,11.5,100,18549,71.86,1.08,25.67,27.48,9.66,16.99,9359,5398,7860,3366,4511,4774,25.98,19.11,37.61,8.72,51.54,17.75,30.08,20.52,20.98,9.45,29.54,14.37,3.25,70.32,72.86,76.59,55.52,65.14,1.58,21.22,28.29,32.67,51.06,1.2,80.54,2.95,6.75,2.7,2.7,2.71,56.82,7.09,48.89,3,449,90.37,3.12,35.86,1967,15.42,0.54,44700,38200,220,166,26.5,20.8,13.1,5.67,70.99,45.78,73.81,91.54,11.2,1118.3,0.24,288.65
645,19154,3.09,1.16,49.83,1.12,34.68,14.97,27.32,11.92,6.81,0,26622,83.51,0.85,27.74,17.15,8.48,9.48,10559,22905,6251,18186,7970,7821,22.96,11.24,24.92,5.77,65.16,5.58,26.85,10.92,28.5,10.57,31,14.41,3.49,65.57,64.77,75.9,60.9,69.74,8.19,12.92,20.26,26.94,38.01,0.62,59.51,3.78,10.95,3.01,3.12,2.83,62.85,11.96,44.47,3,502,92.51,4.18,33.47,1971,14.59,0.79,68200,36800,276,173,24.1,19.7,12.3,4.77,61.21,47.74,78.58,84.98,11.4,1675.5,0.2,1607.83
647,45048,2.75,14.11,79.77,1.42,10.32,12.49,24.83,11.68,17.97,97.87,29211,62.72,0.27,46.58,40.55,7.14,20.68,12967,9428,5106,12153,6380,8242,16.09,11.31,27.3,7.29,48.9,14.39,27.62,14.89,26.48,7.12,28.58,9.66,3.37,76.48,90.12,76.92,50.84,62,5.11,9.83,14.17,18.57,21.94,1.04,77.81,2.97,10.49,2.62,2.57,2.73,63.98,5.53,61.37,2,1536,91.41,2.28,53.91,1970,3.55,0.32,109700,73100,513,227,35.1,25.8,19.2,10.54,50.09,57.34,76.59,89.35,25.7,1751.5,3.9,581.98
648,14638,2.46,0.03,98.01,0.83,0.96,12.22,28.04,12.11,11.76,100,27264,78.65,0.4,49.12,27.74,7.57,15.36,13074,0,8749,2973,6758,5784,9.92,8.78,21.46,4.43,65.71,38.62,17.67,24.26,18.39,9.89,28.63,12.23,3.05,74.45,79.48,77.72,68.4,73.34,2.51,5.06,8.17,22.18,39.69,0.09,95.92,0.94,3.27,2.46,2.67,2.1,67.59,1.26,45.64,3,186,96.97,1.08,37.63,1956,2.97,0.34,54000,24200,308,104,24.2,20,14.1,1.76,84.64,55.51,79.76,93.9,4.5,3283.8,0.68,44.64
649,12236,2.53,6.45,91.2,1.77,1.19,11.41,23.47,10.65,11.92,100,44495,85.75,0.41,66.87,22.26,1.75,14.62,18319,19844,9665,15717,11116,9104,4.54,6.98,13.33,1.79,71.01,23.73,24.37,11.81,36.81,7.17,28.3,9.15,2.99,87.05,94.95,84.88,65.57,76.74,0.52,10.34,12.48,21.57,26.02,0.47,92.7,0.75,3.26,2.47,2.75,1.71,81.54,0.74,37.59,3,232,95.42,0,8.19,1966,0,0.34,82000,28100,511,158,22.6,20,13.4,4.58,76.99,62.4,87.72,94.52,4.6,2682.6,1.73,141.75
650,70218,2.99,34.35,62.67,1.63,2.48,17.41,41.2,23.19,5.31,100,21824,83.95,0.43,21.88,13.54,7.96,12.63,10315,6792,10320,9686,29770,19045,21.73,8.24,26.15,4.82,71.56,14.33,17.12,16.51,18.9,13.12,41.14,16.86,3.14,62.54,71.93,53.09,60.62,64.55,8.65,15.77,21.44,32.96,39.93,0.36,94.1,0.62,5.18,2.59,2.57,2.6,37.25,5.87,60.54,2,3109,88.32,5.08,55.87,1973,11.93,0.73,60100,29300,319,156,26.2,21.4,13.4,2.31,48.68,29.01,57.05,66.02,51.8,1354.9,3.02,2264.09
651,49998,2.48,31.88,62.42,2.41,24.56,11.61,26.48,12,13.09,100,24898,79.31,0.68,31.97,26.14,4.62,10.03,13297,7962,16151,11065,7433,10062,15.48,11.25,30.7,8.23,62.11,9.49,24.17,11.81,22.63,13.98,33.22,17.9,3.14,61.82,74.4,62.44,73.88,76.96,7.52,14.81,26.29,37.14,51.63,5.5,54.79,8.9,8.32,2.44,2.71,2.18,54.1,15.46,77.26,2,1980,91.04,1.62,18.18,1964,3.44,0.62,71800,33700,423,125,28.5,24.2,12.5,37.18,26.15,43.15,78.04,80.7,8.7,5728.5,7.87,1818.82
652,56958,2.68,0.56,95.37,1.26,5.91,14.7,30.02,14.24,8.45,100,36192,84.15,0.41,55.09,21.65,5.07,13.74,14915,10536,7605,11380,8871,8603,6.13,5.89,14.86,3.09,72.49,26.13,24,14.55,27.94,9.17,31.43,12.02,3.16,78.19,85.2,78.09,66.83,75.63,2.05,7.87,11.95,19.71,33.01,0.24,91.92,1.17,4.05,2.59,2.93,2.15,62.93,2.26,48.86,3,830,96.24,0.36,10,1969,1.36,0.45,81600,33200,469,195,25,21.4,12.8,3.1,74.97,46.4,77.87,91.5,17.9,3175.3,1.45,138.56
653,19661,2.66,0.54,98.76,0.38,0.54,14.55,27.07,13.04,9.32,100,34350,83.26,0.54,42.16,22.32,3.89,18.52,14147,12976,14552,2992,19501,15884,5.82,4.85,18.75,3.23,69.54,12.99,22.14,15.44,24.12,9.17,23.91,14.04,3.06,78.18,91.98,73.78,67.78,75.78,1.24,8.55,8.55,21.05,21.05,0.07,97.89,0.25,2.91,2.62,2.78,2.32,70.7,1.07,35.96,3,293,96.18,0.68,14.68,1968,2.48,0.25,75200,30200,373,119,24.1,20.8,12.3,0.77,78.58,47.3,84.68,92.42,10.5,1879.5,1.69,122.9
654,19163,3.12,0.55,98.55,0.67,0.59,20.81,31.28,21.25,11.18,83.02,42523,80.68,0.23,52.8,28.58,4.09,15.87,15448,8562,0,10054,4521,7877,4.34,6.92,19.22,4.82,63,17.98,31.3,10.79,30.55,5.3,37.77,7.36,3.14,85.52,95.85,87.4,59.11,70.78,0.62,4.28,5.75,10.18,11.36,0.15,94.71,0.42,3.46,2.69,2.87,1.94,85.88,0.83,37.82,3,174,97.24,0.57,44.25,1966,0.75,0.35,143200,65600,423,306,27.1,22.2,12.4,3.54,68.68,59.51,82.42,84.39,27.5,695.7,1.18,75.88
655,12756,2.44,22.62,76.87,0.36,0.35,12.94,21.61,10.53,19.79,0,21319,60.37,0.23,36.1,45.01,8.85,22.46,13149,6185,30000,45390,0,8119,19.92,12.26,29.67,5.75,46.99,7.85,27.3,11.38,30.62,9.46,24.97,11.13,3.01,70.42,70.59,75.95,52.44,60.18,2.91,0,0,7.3,11.24,0,97.11,0.09,4.28,2.39,2.43,2.29,71.3,1.68,39.72,3,770,87.18,2.21,65.84,1945,7.96,0.58,44700,39700,213,144,30.9,17,11.7,1.4,70.09,68.32,87.72,91.24,8.7,1461.5,1.25,324.52
656,11037,2.6,31.56,67.76,0.41,0.44,13.24,23.46,10.88,14.05,0,24375,75.17,0.9,31.28,28.94,8.95,15.18,12277,6867,28385,2139,23760,18500,13.39,15.56,35.31,4.44,60.47,30.18,21.14,23.88,24.14,9.13,27.11,12.86,3.05,63.34,74.38,74.62,78.42,81.54,10.64,0,0,0,0,0,97.32,0.79,3.49,2.48,2.53,2.41,62.15,2.9,44.58,3,279,93.83,1.08,46.59,1966,6.65,0.07,52500,37200,234,144,24.7,19.3,13,0.34,88.06,55.16,85.43,93.94,9.4,1175.6,0,1264.79
657,34738,2.8,14.69,80.5,1.79,4.87,12.08,24.73,11.21,14.34,100,36097,78.87,0.22,45.44,31.45,5.33,18.78,14720,12692,15550,14573,9011,9411,5.46,8.08,25.15,4.26,62.6,17.77,20.45,14.84,23.49,8,29.82,10.54,3.25,75.99,86.95,77.82,53.14,65.91,3.38,3.75,7.57,14.17,23.68,0.16,90.13,1.04,6.45,2.77,2.93,2.1,85.39,1.97,27.22,3,309,97.57,5.83,47.25,1954,2.49,0.19,91000,39200,430,192,26.9,22,14.6,4.15,53.24,65.77,83.85,91.17,10.9,3181.5,5.23,559.86
