State,Gender,LeadingDeathMechanism,Type,Organ,Count
 South Carolina, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,44
 Tennessee, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,155
 Tennessee, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,110
 Texas, Male,Blunt Injury,Recovered,Liver,298
 Texas, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,213
 Utah, Male,Blunt Injury,Recovered,Liver,34
 Utah, Female,Blunt Injury,Recovered,Liver,19
 Virginia, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,87
 Virginia, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,62
 Washington, Male,Blunt Injury,Recovered,Liver,75
 Washington, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,61
 Wisconsin, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,90
 Wisconsin, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,63
 Alabama, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Alabama, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,1
 Arizona, Male,Blunt Injury,Recovered,Intestine,0
 Arizona, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Arkansas, Male,Blunt Injury,Recovered,Intestine,0
 Arkansas, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 California, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,3
 California, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,5
 Colorado, Male,Blunt Injury,Recovered,Intestine,1
 Colorado, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Connecticut, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Connecticut, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 District of Columbia, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 District of Columbia, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Florida, Male,Blunt Injury,Recovered,Intestine,11
 Florida, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,2
 Georgia, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,2
 Georgia, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,2
 Hawaii, Male,Blunt Injury,Recovered,Intestine,0
 Hawaii, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Illinois, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,4
 Illinois, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,3
 Indiana, Male,Blunt Injury,Recovered,Intestine,10
 Indiana, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,2
 Iowa, Male,Blunt Injury,Recovered,Intestine,2
 Iowa, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Kansas, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,1
 Kansas, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Kentucky, Male,Blunt Injury,Recovered,Intestine,0
 Kentucky, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,2
 Louisiana, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,2
 Louisiana, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,1
 Maryland, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Maryland, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Massachusetts, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,3
 Massachusetts, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Michigan, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,3
 Michigan, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,3
 Minnesota, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,2
 Minnesota, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Mississippi, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,1
 Mississippi, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,1
 Missouri, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,1
 Missouri, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Nebraska, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Nebraska, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Nevada, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,3
 Nevada, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,1
 New Jersey, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 New Jersey, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 New Mexico, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 New Mexico, Female,Blunt Injury,Recovered,Intestine,0
 New York, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,3
 New York, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,3
 North Carolina, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,1
 North Carolina, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,3
 Ohio, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,1
 Ohio, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Oklahoma, Male,Blunt Injury,Recovered,Intestine,2
 Oklahoma, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,1
 Oregon, Male,Gunshot Wound,Recovered,Intestine,0
 Oregon, Female,Blunt Injury,Recovered,Intestine,0
 Pennsylvania, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,2
 Pennsylvania, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,2
 Puerto Rico, Male,Blunt Injury,Recovered,Intestine,0
 Puerto Rico, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 South Carolina, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 South Carolina, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,2
 Tennessee, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,3
 Tennessee, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,5
 Texas, Male,Blunt Injury,Recovered,Intestine,3
 Texas, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,2
 Utah, Male,Blunt Injury,Recovered,Intestine,1
 Utah, Female,Blunt Injury,Recovered,Intestine,2
 Virginia, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,0
 Virginia, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,3
 Washington, Male,Blunt Injury,Recovered,Intestine,0
 Washington, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,1
 Wisconsin, Male,Intracranial Hemorrhage / Stroke,Recovered,Intestine,1
 Wisconsin, Female,Intracranial Hemorrhage / Stroke,Recovered,Intestine,1
 Alabama, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,14
 Alabama, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,13
 Arizona, Male,Blunt Injury,Recovered,Heart,34
 Arizona, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,11
 Arkansas, Male,Blunt Injury,Recovered,Heart,17
 Arkansas, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,2
 California, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,189
 California, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,90
 Colorado, Male,Blunt Injury,Recovered,Heart,33
 Colorado, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,15
 Connecticut, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,12
 Connecticut, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,4
 District of Columbia, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,19
 District of Columbia, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,7
 Florida, Male,Blunt Injury,Recovered,Heart,114
 Florida, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,62
 Georgia, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,66
 Georgia, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,29
 Hawaii, Male,Blunt Injury,Recovered,Heart,0
 Hawaii, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,0
 Illinois, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,45
 Illinois, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,31
 Indiana, Male,Blunt Injury,Recovered,Heart,38
 Indiana, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,23
 Iowa, Male,Blunt Injury,Recovered,Heart,13
 Iowa, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,5
 Kansas, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,38
 Kansas, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,26
 Kentucky, Male,Blunt Injury,Recovered,Heart,15
 Kentucky, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,8
 Louisiana, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,31
 Louisiana, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,13
 Maryland, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,27
 Maryland, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,15
 Massachusetts, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,36
 Massachusetts, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,20
 Michigan, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,52
 Michigan, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,35
 Minnesota, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,31
 Minnesota, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,16
 Mississippi, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,17
 Mississippi, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,10
 Missouri, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,27
 Missouri, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,21
 Nebraska, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,5
 Nebraska, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,3
 Nevada, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,10
 Nevada, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,10
 New Jersey, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,28
 New Jersey, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,9
 New Mexico, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,4
 New Mexico, Female,Blunt Injury,Recovered,Heart,2
 New York, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,72
 New York, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,27
 North Carolina, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,52
 North Carolina, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,28
 Ohio, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,65
 Ohio, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,30
 Oklahoma, Male,Blunt Injury,Recovered,Heart,19
 Oklahoma, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,13
 Oregon, Male,Gunshot Wound,Recovered,Heart,17
 Oregon, Female,Blunt Injury,Recovered,Heart,8
 Pennsylvania, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,104
 Pennsylvania, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,55
 Puerto Rico, Male,Blunt Injury,Recovered,Heart,22
 Puerto Rico, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,2
 South Carolina, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,22
 South Carolina, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,14
 Tennessee, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,66
 Tennessee, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,26
 Texas, Male,Blunt Injury,Recovered,Heart,171
 Texas, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,65
 Utah, Male,Blunt Injury,Recovered,Heart,22
 Utah, Female,Blunt Injury,Recovered,Heart,7
 Virginia, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,24
 Virginia, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,14
 Washington, Male,Blunt Injury,Recovered,Heart,37
 Washington, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,22
 Wisconsin, Male,Intracranial Hemorrhage / Stroke,Recovered,Heart,35
 Wisconsin, Female,Intracranial Hemorrhage / Stroke,Recovered,Heart,17
 Alabama, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,15
 Alabama, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,9
 Arizona, Male,Blunt Injury,Recovered,Lungs,42
 Arizona, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,15
 Arkansas, Male,Blunt Injury,Recovered,Lungs,13
 Arkansas, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,19
 California, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,248
 California, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,138
 Colorado, Male,Blunt Injury,Recovered,Lungs,24
 Colorado, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,14
 Connecticut, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,6
 Connecticut, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,4
 District of Columbia, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,36
 District of Columbia, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,16
 Florida, Male,Blunt Injury,Recovered,Lungs,106
 Florida, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,100
 Georgia, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,74
 Georgia, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,49
 Hawaii, Male,Blunt Injury,Recovered,Lungs,0
 Hawaii, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,4
 Illinois, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,46
 Illinois, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,26
 Indiana, Male,Blunt Injury,Recovered,Lungs,30
 Indiana, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,30
 Iowa, Male,Blunt Injury,Recovered,Lungs,14
 Iowa, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,4
 Kansas, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,52
 Kansas, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,37
 Kentucky, Male,Blunt Injury,Recovered,Lungs,20
 Kentucky, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,14
 Louisiana, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,55
 Louisiana, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,34
 Maryland, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,45
 Maryland, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,28
 Massachusetts, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,34
 Massachusetts, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,32
 Michigan, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,49
 Michigan, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,54
 Minnesota, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,33
 Minnesota, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,21
 Mississippi, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,22
 Mississippi, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,12
 Missouri, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,63
 Missouri, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,66
 Nebraska, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,8
 Nebraska, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,4
 Nevada, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,8
 Nevada, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,20
 New Jersey, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,30
 New Jersey, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,12
 New Mexico, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,8
 New Mexico, Female,Blunt Injury,Recovered,Lungs,1
 New York, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,33
 New York, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,23
 North Carolina, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,82
 North Carolina, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,70
 Ohio, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,53
 Ohio, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,60
 Oklahoma, Male,Blunt Injury,Recovered,Lungs,28
 Oklahoma, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,17
 Oregon, Male,Gunshot Wound,Recovered,Lungs,21
 Oregon, Female,Blunt Injury,Recovered,Lungs,6
 Pennsylvania, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,137
 Pennsylvania, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,98
 Puerto Rico, Male,Blunt Injury,Recovered,Lungs,36
 Puerto Rico, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,9
 South Carolina, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,31
 South Carolina, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,16
 Tennessee, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,73
 Tennessee, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,33
 Texas, Male,Blunt Injury,Recovered,Lungs,201
 Texas, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,137
 Utah, Male,Blunt Injury,Recovered,Lungs,18
 Utah, Female,Blunt Injury,Recovered,Lungs,8
 Virginia, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,28
 Virginia, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,25
 Washington, Male,Blunt Injury,Recovered,Lungs,34
 Washington, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,26
 Wisconsin, Male,Intracranial Hemorrhage / Stroke,Recovered,Lungs,22
 Wisconsin, Female,Intracranial Hemorrhage / Stroke,Recovered,Lungs,33
 Alabama, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,162
 Alabama, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,155
 Arizona, Male,Blunt Injury,Transplanted,All,308
 Arizona, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,130
 Arkansas, Male,Blunt Injury,Transplanted,All,126
 Arkansas, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,79
 California, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,1778
 California, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,1009
 Colorado, Male,Blunt Injury,Transplanted,All,263
 Colorado, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,127
 Connecticut, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,99
 Connecticut, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,39
 District of Columbia, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,227
 District of Columbia, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,129
 Florida, Male,Blunt Injury,Transplanted,All,1077
 Florida, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,674
 Georgia, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,479
 Georgia, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,342
 Hawaii, Male,Blunt Injury,Transplanted,All,79
 Hawaii, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,37
 Illinois, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,487
 Illinois, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,313
 Indiana, Male,Blunt Injury,Transplanted,All,317
 Indiana, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,213
 Iowa, Male,Blunt Injury,Transplanted,All,124
 Iowa, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,65
 Kansas, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,368
 Kansas, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,258
 Kentucky, Male,Blunt Injury,Transplanted,All,158
 Kentucky, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,116
 Louisiana, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,340
 Louisiana, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,216
 Maryland, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,265
 Maryland, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,166
 Massachusetts, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,414
 Massachusetts, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,221
 Michigan, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,432
 Michigan, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,343
 Minnesota, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,272
 Minnesota, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,193
 Mississippi, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,159
 Mississippi, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,90
 Missouri, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,280
 Missouri, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,276
 Nebraska, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,78
 Nebraska, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,52
 Nevada, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,123
 Nevada, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,111
 New Jersey, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,267
 New Jersey, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,111
 New Mexico, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,55
 New Mexico, Female,Blunt Injury,Transplanted,All,34
 New York, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,604
 New York, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,352
 North Carolina, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,491
 North Carolina, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,377
 Ohio, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,567
 Ohio, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,386
 Oklahoma, Male,Blunt Injury,Transplanted,All,196
 Oklahoma, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,127
 Oregon, Male,Gunshot Wound,Transplanted,All,149
 Oregon, Female,Blunt Injury,Transplanted,All,100
 Pennsylvania, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,942
 Pennsylvania, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,627
 Puerto Rico, Male,Blunt Injury,Transplanted,All,206
 Puerto Rico, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,87
 South Carolina, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,199
 South Carolina, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,132
 Tennessee, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,549
 Tennessee, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,350
 Texas, Male,Blunt Injury,Transplanted,All,1304
 Texas, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,757
 Utah, Male,Blunt Injury,Transplanted,All,159
 Utah, Female,Blunt Injury,Transplanted,All,100
 Virginia, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,286
 Virginia, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,190
 Washington, Male,Blunt Injury,Transplanted,All,288
 Washington, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,237
 Wisconsin, Male,Intracranial Hemorrhage / Stroke,Transplanted,All,324
 Wisconsin, Female,Intracranial Hemorrhage / Stroke,Transplanted,All,235
 Alabama, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,78
 Alabama, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,79
 Arizona, Male,Blunt Injury,Transplanted,Kidney,149
 Arizona, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,66
 Arkansas, Male,Blunt Injury,Transplanted,Kidney,62
 Arkansas, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,35
 California, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,879
 California, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,527
 Colorado, Male,Blunt Injury,Transplanted,Kidney,142
 Colorado, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,61
 Connecticut, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,54
 Connecticut, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,18
 District of Columbia, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,106
 District of Columbia, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,70
 Florida, Male,Blunt Injury,Transplanted,Kidney,523
 Florida, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,317
 Georgia, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,191
 Georgia, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,148
 Hawaii, Male,Blunt Injury,Transplanted,Kidney,59
 Hawaii, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,25
 Illinois, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,248
 Illinois, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,146
 Indiana, Male,Blunt Injury,Transplanted,Kidney,146
 Indiana, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,104
 Iowa, Male,Blunt Injury,Transplanted,Kidney,62
 Iowa, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,39
 Kansas, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,181
 Kansas, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,127
 Kentucky, Male,Blunt Injury,Transplanted,Kidney,76
 Kentucky, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,59
 Louisiana, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,135
 Louisiana, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,92
 Maryland, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,118
 Maryland, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,76
 Massachusetts, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,232
 Massachusetts, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,120
 Michigan, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,215
 Michigan, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,158
 Minnesota, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,123
 Minnesota, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,97
 Mississippi, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,75
 Mississippi, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,46
 Missouri, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,114
 Missouri, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,116
 Nebraska, Male,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,40
 Nebraska, Female,Intracranial Hemorrhage / Stroke,Transplanted,Kidney,30
